file,experiment,db,model_variant,variant,run,n_uris_total,n_canonical,n_invented,n_standard,n_other,canonical_ratio,overlap_with_gold,jaccard,precision_vs_gold,recall_vs_gold
E3/FANTOM5/gpt-4o_N50_ragapi/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N50_ragapi,raw,3,43,22,3,17,1,0.88,9,0.0882,0.3913,0.1023
E3/FANTOM5/gpt-4o_N50_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,gpt-4o_N50_ragapi,postprocessed,1,41,21,3,16,1,0.875,9,0.0891,0.4091,0.1023
E3/FANTOM5/gpt-4o_N50_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,gpt-4o_N50_ragapi,postprocessed,2,47,27,4,15,1,0.871,9,0.0841,0.3214,0.1023
E3/FANTOM5/gpt-4o_N50_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,gpt-4o_N50_ragapi,postprocessed,3,43,22,3,17,1,0.88,9,0.0882,0.3913,0.1023
E3/FANTOM5/gpt-4o_legacy/ontology_run1.ttl,E3,FANTOM5,gpt-4o_legacy,raw,1,51,33,0,17,1,1.0,28,0.2979,0.8235,0.3182
E3/FANTOM5/gpt-4o_legacy/ontology_run2.ttl,E3,FANTOM5,gpt-4o_legacy,raw,2,53,37,0,15,1,1.0,30,0.3125,0.7895,0.3409
E3/FANTOM5/gpt-4o_legacy/ontology_run3.ttl,E3,FANTOM5,gpt-4o_legacy,raw,3,53,37,0,15,1,1.0,30,0.3125,0.7895,0.3409
E3/FANTOM5/gpt-4o_legacy/postprocessed/ontology_run1.ttl,E3,FANTOM5,gpt-4o_legacy,postprocessed,1,51,33,0,17,1,1.0,27,0.2842,0.7941,0.3068
E3/FANTOM5/gpt-4o_legacy/postprocessed/ontology_run2.ttl,E3,FANTOM5,gpt-4o_legacy,postprocessed,2,55,39,0,15,1,1.0,29,0.2929,0.725,0.3295
E3/FANTOM5/gpt-4o_legacy/postprocessed/ontology_run3.ttl,E3,FANTOM5,gpt-4o_legacy,postprocessed,3,55,39,0,15,1,1.0,29,0.2929,0.725,0.3295
E3/FANTOM5/gpt-4o_ragapi/ontology_run1.ttl,E3,FANTOM5,gpt-4o_ragapi,raw,1,54,8,30,15,1,0.2105,5,0.0543,0.5556,0.0568
E3/FANTOM5/gpt-4o_ragapi/ontology_run2.ttl,E3,FANTOM5,gpt-4o_ragapi,raw,2,53,8,30,14,1,0.2105,5,0.0543,0.5556,0.0568
E3/FANTOM5/gpt-4o_ragapi/ontology_run3.ttl,E3,FANTOM5,gpt-4o_ragapi,raw,3,60,9,38,12,1,0.1915,5,0.0538,0.5,0.0568
E3/FANTOM5/gpt-4o_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,gpt-4o_ragapi,postprocessed,1,63,17,30,15,1,0.3617,5,0.0495,0.2778,0.0568
E3/FANTOM5/gpt-4o_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,gpt-4o_ragapi,postprocessed,2,61,16,30,14,1,0.3478,5,0.05,0.2941,0.0568
E3/FANTOM5/gpt-4o_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,gpt-4o_ragapi,postprocessed,3,60,9,38,12,1,0.1915,5,0.0538,0.5,0.0568
E3/FANTOM5/llama3.1_8b_N100_ragapi/ontology_run1.ttl,E3,FANTOM5,llama3.1_8b_N100_ragapi,raw,1,26,13,0,8,5,1.0,8,0.0842,0.5333,0.0909
E3/FANTOM5/llama3.1_8b_N100_ragapi/ontology_run2.ttl,E3,FANTOM5,llama3.1_8b_N100_ragapi,raw,2,28,14,4,8,2,0.7778,8,0.0842,0.5333,0.0909
E3/FANTOM5/llama3.1_8b_N100_ragapi/ontology_run3.ttl,E3,FANTOM5,llama3.1_8b_N100_ragapi,raw,3,24,14,0,8,2,1.0,8,0.0842,0.5333,0.0909
E3/FANTOM5/llama3.1_8b_N100_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,llama3.1_8b_N100_ragapi,postprocessed,1,26,13,0,8,5,1.0,8,0.0842,0.5333,0.0909
E3/FANTOM5/llama3.1_8b_N100_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,llama3.1_8b_N100_ragapi,postprocessed,2,30,16,4,8,2,0.8,9,0.0938,0.5294,0.1023
E3/FANTOM5/llama3.1_8b_N100_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,llama3.1_8b_N100_ragapi,postprocessed,3,26,16,0,8,2,1.0,9,0.0938,0.5294,0.1023
E3/FANTOM5/llama3.1_8b_N200_ragapi/ontology_run1.ttl,E3,FANTOM5,llama3.1_8b_N200_ragapi,raw,1,26,15,0,11,0,1.0,9,0.0957,0.6,0.1023
E3/FANTOM5/llama3.1_8b_N200_ragapi/ontology_run2.ttl,E3,FANTOM5,llama3.1_8b_N200_ragapi,raw,2,26,11,5,9,1,0.6875,8,0.087,0.6667,0.0909
E3/FANTOM5/llama3.1_8b_N200_ragapi/ontology_run3.ttl,E3,FANTOM5,llama3.1_8b_N200_ragapi,raw,3,24,9,5,10,0,0.6429,8,0.0899,0.8889,0.0909
E3/FANTOM5/llama3.1_8b_N200_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,llama3.1_8b_N200_ragapi,postprocessed,1,26,15,0,11,0,1.0,9,0.0957,0.6,0.1023
E3/FANTOM5/llama3.1_8b_N200_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,llama3.1_8b_N200_ragapi,postprocessed,2,26,11,5,9,1,0.6875,8,0.087,0.6667,0.0909
E3/FANTOM5/llama3.1_8b_N200_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,llama3.1_8b_N200_ragapi,postprocessed,3,24,9,5,10,0,0.6429,8,0.0899,0.8889,0.0909
E3/FANTOM5/llama3.1_8b_N25_ragapi/ontology_run1.ttl,E3,FANTOM5,llama3.1_8b_N25_ragapi,raw,1,33,19,0,14,0,1.0,9,0.0918,0.4737,0.1023
E3/FANTOM5/llama3.1_8b_N25_ragapi/ontology_run2.ttl,E3,FANTOM5,llama3.1_8b_N25_ragapi,raw,2,34,20,0,13,1,1.0,7,0.0686,0.3333,0.0795
E3/FANTOM5/llama3.1_8b_N25_ragapi/ontology_run3.ttl,E3,FANTOM5,llama3.1_8b_N25_ragapi,raw,3,31,18,0,13,0,1.0,8,0.0816,0.4444,0.0909
E3/FANTOM5/llama3.1_8b_N25_ragapi/postprocessed/ontology_run1.ttl,E3,FANTOM5,llama3.1_8b_N25_ragapi,postprocessed,1,33,19,0,14,0,1.0,9,0.0918,0.4737,0.1023
E3/FANTOM5/llama3.1_8b_N25_ragapi/postprocessed/ontology_run2.ttl,E3,FANTOM5,llama3.1_8b_N25_ragapi,postprocessed,2,34,20,0,13,1,1.0,7,0.0686,0.3333,0.0795
E3/FANTOM5/llama3.1_8b_N25_ragapi/postprocessed/ontology_run3.ttl,E3,FANTOM5,llama3.1_8b_N25_ragapi,postprocessed,3,31,18,0,13,0,1.0,8,0.0816,0.4444,0.0909
E3/FANTOM5/llama3.1_8b_N50_ragapi/ontology_run1.ttl,E3,FANTOM5,llama3.1_8b_N50_ragapi,raw,1,34,18,0,12,4,1.0,7,0.0693,0.35,0.0795
E3/FANTOM5/llama3.1_8b_N50_ragapi/ontology_run2.ttl,E3,FANTOM5,llama3.1_8b_N50_ragapi,raw,2,30,16,0,13,1,1.0,8,0.0825,0.4706,0.0909
E3/FANTOM5/llama3.1_8b_N50_ragapi/ontology_run3.ttl,E3,FANTOM5,llama3.1_8b_N50_ragapi,raw,3,31,18,0,12,1,1.0,8,0.0808,0.4211,0.0909
