file,src,size_bytes,load_ok,load_error,n_literals_sanitized,n_classes,n_obj_props,n_data_props,n_annotations,WMCOnto,NOMOnto,DITM,NACOnto,CBOnto,TMOnto,LCOMOnto,ANOnto,INROnto,RROnto,AROnto,consistent,n_unsatisfiable,n_inferred_classes,reasoner_seconds,reasoner_error,score_structural,score_modularity,score_reusability,score_operability,score_reliability,oquare_global,experiment,db,model,variant,run,eval_seconds,structural_error
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b/postprocessed/ontology_run1.ttl,3232,0,rdflib_parse_failed: el TTL no es válido,0,,,,,,,,,,,,,,,,,,,,,,,,,,,E1,dbSUPER,llama3.1_8b,postprocessed,1,0.0,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b/postprocessed/ontology_run2.ttl,3874,1,,0,5,7,0,0,1.4,1.4,1,1.0,0.8,0.0,5,0.0,0.0,1.4,1.0,True,0,5,0.22,,5.0,3.5,2.33,5.0,5,4.17,E1,dbSUPER,llama3.1_8b,postprocessed,2,0.22,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b/postprocessed/ontology_run3.ttl,5408,0,rdflib_parse_failed: el TTL no es válido,0,,,,,,,,,,,,,,,,,,,,,,,,,,,E1,dbSUPER,llama3.1_8b,postprocessed,3,0.0,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/llama3.1_8b/postprocessed/ontology_run2.ttl,4563,1,,0,1,11,5,0,16.0,16.0,1,1.0,1.0,0.0,1,0.0,0.0,11.0,0.6875,True,0,1,0.28,,4.75,5.0,2.33,5.0,5,4.42,E1,HACER,llama3.1_8b,postprocessed,2,0.28,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/llama3.1_8b/postprocessed/ontology_run3.ttl,7485,1,,0,1,27,0,0,27.0,27.0,1,1.0,1.0,0.0,1,0.0,0.0,27.0,1.0,True,0,1,0.28,,4.25,5.0,2.33,5.0,5,4.32,E1,HACER,llama3.1_8b,postprocessed,3,0.29,
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/llama3.1_8b/postprocessed/ontology_run1.ttl,3782,0,rdflib_parse_failed: el TTL no es válido,0,,,,,,,,,,,,,,,,,,,,,,,,,,,E1,DiseaseEnhancer,llama3.1_8b,postprocessed,1,0.0,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/llama3.1_8b/postprocessed/ontology_run2.ttl,5171,1,,0,3,4,10,0,4.666666666666667,4.666666666666667,1,1.0,1.0,0.0,3,0.0,0.0,1.3333333333333333,0.2857142857142857,True,0,3,0.26,,5.0,4.0,2.33,4.0,5,4.07,E1,DiseaseEnhancer,llama3.1_8b,postprocessed,2,0.27,
ontology_run3.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/DiseaseEnhancer/llama3.1_8b/postprocessed/ontology_run3.ttl,4829,1,,0,,,,,,,,,,,,,,,,True,0,,0.27,TypeError: metaclass conflict: the metaclass of a derived class must be a (non-strict) subclass of the metaclasses of all its bases,0,0,0,0,5,1.0,E1,DiseaseEnhancer,llama3.1_8b,postprocessed,3,0.27,TypeError: metaclass conflict: the metaclass of a derived class must be a (non-strict) subclass of the metaclasses of all its bases
ontology_run1.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/llama3.1_8b/postprocessed/ontology_run1.ttl,2768,0,rdflib_parse_failed: el TTL no es válido,0,,,,,,,,,,,,,,,,,,,,,,,,,,,E2,FANTOM5,llama3.1_8b,postprocessed,1,0.0,
ontology_run2.ttl,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/llama3.1_8b/postprocessed/ontology_run2.ttl,4724,1,,0,1,22,2,0,24.0,24.0,1,1.0,0.0,0.0,1,0.0,0.0,22.0,0.9166666666666666,True,0,1,0.22,,4.25,5.0,2.33,5.0,5,4.32,E2,FANTOM5,llama3.1_8b,postprocessed,2,0.23,
